Item No.,Class Code,Dept #,Description,Whs No.,quantity,Sold Qty,Adj. Qty,Receive Qty,End In Stock,Average Cost,Current Cost,Ext Amount
F1167,23,Dining,Vol1.P158-|HEIGHT CHAIR D.BROWN MW F2329/F2347,HOU,                   -,,,,-4,41.8,41.8,-167.2
F1207,23,*DISC*,Vol1.P157-|  CHAIRS ONLY,HOU,,,,,2,33.2,33.2,66.5
F1277,D,*DISC*,[DISC] Cat.21.P134-|DINING CHAIR BLACK MW F2211,DMG,,,,,4,23.7,23.7,95
F1439,22,DINING,Cat.21.P136-|DINING CHAIR BLACK MW F2200,DMG,,,,,4,30.4,30.4,121.6
F1556,23,Dining,"Vol1.P124-|ADJUSTABLE BARSTOOL GREY 32""-38""H MW F1555",DMG,,,,,2,41.9,41.8,83.98
F1557,23,Dining,"Vol1.P125-|ADJUSTABLE BARSTOOL BLACK 37""-45""H MW F1558",DMG,,,,,2,44.6,44.6,89.3
F1565,23,Dining,"Vol1.P123-|ADJUSTABLE BARSTOOL BLACK 37""-45""H MW F1566",DMG,,,,,2,41.4,41.4,82.85
F1566,23,Dining,"Vol1.P123-|ADJUSTABLE BARSTOOL WHITE 37""-45""H MW F1565",DMG,2,,,,20,37,37,741
F1567,23,Dining,"Vol1.P126-|ADJUSTABLE BARSTOOL WHITE 37""-45""H MW F1568",DMG,,,,,2,46.5,46.5,93.1
F1571,23,*DISC*,Vol1.P173-  CHAIR ONLY,HOU,,,,,4,43.7,43.7,174.8
F1705,23,Dining,Vol1.P179-|DINING CHAIR MW F2428/F2430/F2431/F2432,DMG,,,,,2,39.9,50.2,79.8
F1752,23,*DISC*,Vol1.P145- !!!CHAIR SILVER!!!,HOU,1,,,,12,38.3,38.3,460.46
F1753,23,*DISC*,Vol1.P145- DINING BENCH,HOU,,,,,2,54.7,54.7,109.44
F1754,23,Dining,Vol1.P146-|HEIGHT CHAIR BLACK MW F2461,DMG,,,,,2,29.1,29.1,58.21
F1755,23,Dining,Vol1.P146-|HEIGHT BENCH BLACK MW F2461,DMG,,,,,1,56,56,56.05
F1757,23,*DISC*,Vol1.P146-  BENCH ONLY,HOU,,,,,5,53.4,52.5,267
F1771,21,*DISC*,Cat.21.P171- DINING CHAIR,HOU,1,,,,12,49.4,49.4,592.8
F1772,21,*DISC*,Cat.21.P172-|DINING CHAIR,HOU,1,,,,14,48.1,48.1,673.87
F1775,23,*DISC*,Vol1.P171-|BENCH ONLY,HOU,,,,,1,75,75,75.05
F2053,23,Dining,Vol1.P125-|BAR STAND GLASS BLACK MW F1565/F1566,DMG,,,,,1,91.9,91.9,91.92
F2053,23,Dining,Vol1.P125-|BAR STAND GLASS BLACK MW F1565/F1566,HOU,,,,,5,91.9,91.9,459.59
F2059,23,Dining,Vol1.P126-|BAR STAND GLASS WHITE MW F1565/F1566,HOU,5,,,,58,91.1,91.1,5287.25
F2059,23,Dining,Vol1.P126-|BAR STAND GLASS WHITE MW F1565/F1566,SHOW,,,,,1,91.1,91.1,91.16
F2114,23,Dining,Vol1.P123-|BAR STAND GLASS BLACK MW F1624/F1628/F1629/F1630,DMG,,,,,1,86.4,86.4,86.4
F2114,23,Dining,Vol1.P123-|BAR STAND GLASS BLACK MW F1624/F1628/F1629/F1630,HOU,1,,,,12,86.6,86.6,1039.43
F2120,23,Dining,Vol1.P124-|BAR STAND GLASS WHITE MW F1624/F1628/F1629/F1630,HOU,4,,,,40,86,86,3442.67
F2120,23,Dining,Vol1.P124-|BAR STAND GLASS WHITE MW F1624/F1628/F1629/F1630,SHOW,,,,,1,86.4,86.4,86.4
F2153,23,*DISC*,Vol1.P150-  ONLY DINING TABLE GLASS TOP MW1857,SHOW,,,,,1,160.5,160.5,160.55
F2211,D,*DISC*,[DISC] Cat.21.P134-|DINING TABLE ROUND MW F1273/F1277,DMG,,,,,1,104,72,104
F2212,D,*DISC*,[DISC] Cat.21.P133-|DINING TABLE MW F1274/F1748,DMG,,,,,3,78.3,78.3,234.9
F2224,D,*DISC*,[DISC] Cat.21.P133-|HEIGHT TABLE GLASS MW F1222/F1749,DMG,,,,,1,76.5,76.5,76.5
F2225,D,DINING,[DISC] CAT.20.P86-|DINING TABLE MW F1273/F1277,SHOW,,,,,1,76.5,76.5,76.5
F2329,23,*DISC*,Vol1.P158-   !!!! TABLE ONLY !!!!,HOU,,,,,1,118,118,118.05
F2347,23,*DISC*,Vol1.P157-   !!!!COUNTER  TABLE ONLY!!!,HOU,,,,,1,127.3,127.3,127.3
F2432,23,Dining,Vol1.P180-|DINING TABLE MW F1705/F6034,DMG,,,,,1,135.9,208,135.9
F3087,23,ACCESSOR,Vol1.P108-|3PCS COFFEE TABLE SET GLASS TOP CLEAR,DMG,,,,,7,139.7,114.5,978.05
F3087,23,ACCESSOR,Vol1.P108-|3PCS COFFEE TABLE SET GLASS TOP CLEAR,HOU,3,,,,34,110.3,110.3,3750.56
F3087,23,ACCESSOR,Vol1.P108-|3PCS COFFEE TABLE SET GLASS TOP CLEAR,SHOW,,,,,1,119.5,110.3,119.57
F3098,23,ACCESSOR,Vol1.P108-|3PCS COFFEE TABLE SET GLASS TOP CLEAR,HOU,,,,,3,108.3,108.3,324.93
F3143,23,Living,Vol1.P109-|3PCS COFFEE TABLE SET VENEER TOP,DMG,,,,,1,59.4,59.4,59.4
F4236,23,*DISC*,Vol1.P201-|NIGHTSTAND BLACK MW F9208/F9219/F9412/F9413/,HOU,,,,,1,65.5,65.5,65.55
F4252,23,*DISC*,Vol1.P203-|MIRROR BLACK MW F9046/F9212/F9313/F9315,HOU,,,,,2,49.4,50.3,98.8
F4254,23,Bedroom,Vol1.P203-|NIGHSTAND WHITE MW F9123/F9416/F9417/F9374,HOU,,,,,1,60.8,60.8,60.81
F4256,23,*DISC*,Vol1.P214-|DRESSER WHITE MW F9123/F9416/F9417/F9374,HOU,,,,,2,170,170,340.1
F4335,23,*DISC*,Vol1.P232-|NIGHTSTAND CHERRY MW F9174/F9175,HOU,,,,,2,94,94,188.1
F4336,23,*DISC*,Vol1.P232-|MIRROR CHERRY MW F9174/F9175,HOU,,,,,5,48.2,48.2,240.99
F4336,23,*DISC*,Vol1.P232-|MIRROR CHERRY MW F9174/F9175,SHOW,,,,,1,48.2,48.2,48.2
F4337,23,*DISC*,Vol1.P232-|DRESSER CHERRY MW F9174/F9175,DMG,,,,,1,238.3,238.3,238.31
F4338,23,*DISC*,Vol1.P232-|CHEST CHERRY MW F9174/F9175,HOU,,,,,1,229,229,229.02
F4346,23,Bedroom,Vol1.P268-|MIRROR MW F9290,DMG,,,,,1,52.7,52.7,52.73
F4347,23,Bedroom,Vol1.P268-|DRESSER MW F9290,HOU,,,,,1,272.1,272.1,272.19
F4348,23,*DISC*,Vol1.P268-|CHEST MW F9290,HOU,,,,,2,287.1,287.1,574.32
F4349,23,*DISC*,Vol1.P232-|NIGHTSTAND WHITE MW F9270/F9350,HOU,,,,,5,71,71,355.13
F4359,23,*DISC*,Vol1.P250-|NIGHTSTAND BLACK MW F9271/F9331,DMG,,,,,1,84.5,84.5,84.55
F4359,23,*DISC*,Vol1.P250-|NIGHTSTAND BLACK MW F9271/F9331,HOU,,,,,4,79.8,79.8,319.2
F4360,23,*DISC*,Vol1.P250-|MIRROR BLACK MW F9271/F9331,HOU,,,,,3,48.9,48.9,146.78
F4361,23,*DISC*,Vol1.P250-|DRESSER BLACK MW F9271/F9331,HOU,,,,,2,246,246,492.1
F4362,23,*DISC*,Vol1.P250-|CHEST BLACK MW F9271/F9331,HOU,,,,,1,228,228,228
F4715,23,*DISC*,Vol1.P204-|NIGHTSTAND WHITE,SHOW,,,,,1,63.6,63.6,63.6
F4716,23,Bedroom,Vol1.P231-|MIRROR WHITE MW F9254/F9530,SHOW,,,,,1,47.7,47.7,47.71
F4718,23,*DISC*,Vol1.P204-|CHEST WHITE,HOU,,,,,1,163.9,163.9,163.95
F4718,23,*DISC*,Vol1.P204-|CHEST WHITE,SHOW,,,,,1,163.9,163.9,163.95
F4726,23,*DISC*,Vol1.P227-|MIRROR BLACK,HOU,,,,,1,42,42,42
F4726,23,*DISC*,Vol1.P227-|MIRROR BLACK,SHOW,,,,,1,40.5,40.5,40.54
F4737,23,Bedroom,Vol1.P227-|DRESSER CHERRY MW F9231/F9516/F9586,DMG,,,,,1,136,136,136
F4777,23,*DISC*,Vol1.P231-|MIRROR CHERRY MW F9282/F9336,HOU,,,,,2,46.5,46.5,93.1
F4778,23,*DISC*,Vol1.P231-|DRESSER CHERRY MW F9282/F9336,HOU,,,,,1,241.3,241.3,241.3
F4822,21,*DISC*,Cat.21.P285-|MIRROR BROWN,HOU,,,,,2,81.8,81.8,163.61
F4822,21,*DISC*,Cat.21.P285-|MIRROR BROWN,SHOW,,,,,1,53.1,81.8,53.1
F4823,21,*DISC*,Cat.21.P285- DRESSER BROWN,HOU,,,,,2,258.6,258.6,517.2
F4823,21,*DISC*,Cat.21.P285- DRESSER BROWN,SHOW,,,,,1,167.4,258.6,167.4
F4824,21,*DISC*,Cat.21.P285-|CHEST BROWN,SHOW,,,,,1,148.5,247,148.5
F4861,23,*DISC*,Vol1.P233-|NIGHTSTAND,HOU,1,,,,10,59.5,59.5,595.44
F4862,23,*DISC*,Vol1.P233-|MIRROR,HOU,1,,,,14,43.5,43.5,609.21
F4863,23,*DISC*,Vol1.P233-|DRESSER,HOU,,,,,9,209,209,1881.05
F4864,23,Bedroom,Vol1.P233-|CHEST MW F9246/F9326/F9420,DMG,,,,,2,139.6,139.6,279.24
F4874,23,*DISC*,Vol1.P255-|MIRROR MW F9327,HOU,,,,,3,56,56,168.15
F4937,21,*DISC*,Cat.21.P237-|MIRROR GREY,HOU,,,,,3,48.9,48.9,146.75
F4937,21,*DISC*,Cat.21.P237-|MIRROR GREY,SHOW,,,,,1,48.9,48.9,48.92
F4938,21,*DISC*,Cat.21.P237-|DRESSER GREY,HOU,,,,,3,212.7,212.7,638.29
F4938,21,*DISC*,Cat.21.P237-|DRESSER GREY,SHOW,,,,,1,212.7,212.7,212.76
F4939,21,*DISC*,Cat.21.P214-|CHEST GREY,SHOW,,,,,1,189,189,189.05
F4941,21,*DISC*,Cat.21.P214-|NIGHSTAND PINK,HOU,,,,,3,75,75,225.15
F4962,23,*DISC*,Vol1.P236-|MIRROR GREY MW F9396/F9439/F9531/F9533,HOU,1,,,,10,32.5,32.5,325.95
F4964,23,Bedroom,Vol1.P236-|CHEST GREY MW F9396/F9439/F9531/F9533,DMG,,,,,1,160.5,160.5,160.55
F4966,23,*DISC*,Vol1.P256-|NIGHTSTAND MW F9397,HOU,,,,,2,85.5,85.5,171
F4967,23,*DISC*,Vol1.P256-|MIRROR MW F9397,HOU,,,,,4,47.5,47.5,190
F4968,23,*DISC*,Vol1.P256-|DRESSER MW F9397,DMG,,,,,1,275.5,275.5,275.5
F4968,23,*DISC*,Vol1.P256-|DRESSER MW F9397,HOU,,,,,3,275.5,275.5,826.5
F4982,23,*DISC*,Vol1.P262-|MIRROR SILVER MW F9428/F9429,HOU,,,,,1,70.3,70.3,70.3
F4983,23,Bedroom,Vol1.P262-|DRESSER SILVER MW F9428/F9429,DMG,,,,,1,254.3,254.3,254.38
F6034,23,*DISC*,Vol1.P179-|SERVER,SHOW,,,,,1,304,304,304
F6056,23,*DISC*,Vol1.P158- SERVER,HOU,,,,,1,228,228,228
F6056,23,*DISC*,Vol1.P158- SERVER,SHOW,,,,,1,228,228,228
F6936,23,Living,Vol1.P33-|4PCS SECTIONAL A+B+C+D RED,DMG,,,,,1,445.5,445.5,445.55
F6992,23,*DISC*,Vol1.P56-|OTTOMAN ASH ONLY,HOU,,,,,2,59.4,59.4,118.8
F7094,23,LIVING,Vol1.P31-| 2PCS SECTIONAL BLUE GREY,HOU,,,,,5,274.7,274.7,1373.76
F7310,23,Living,Vol1.P53-|2PCS SECTIONAL  BLACK,DMG,,,,,1,389,308.6,389.08
F7310,23,Living,Vol1.P53-|2PCS SECTIONAL  BLACK,HOU,,,,,8,308.6,308.6,2468.98
F7320,23,Living,Vol1.P53-|2PCS SECTIONAL/FAUX LEATHER/WHITE,DMG,,,,,1,449.6,449.6,449.62
F7320,23,Living,Vol1.P53-|2PCS SECTIONAL/FAUX LEATHER/WHITE,HOU,,,,,7,289,289,2023
F9215T,23,Bedroom,Vol1.P217-|TWIN BED+TWIN TRUNDLE W/ SLATS ESPRESSO,SHOW,,,,,1,111.4,111.4,111.47
F9217,23,*DISC*,Vol1.P206-|TWIN BED+TRUNDLE W/ SLATS DARK CHERRY,HOU,,,,,1,151,151,151.06
F9219,23,Bedroom,Vol1.P208-|TWIN BED+TRUNDLE W/ SLATS BLACK,HOU,,,,,2,284,284,568.12
F9220,23,Bedroom,Vol1.P208-|TWIN BED+TRUNDLE W/ SLATS D.CHERRY,HOU,,,,,2,255.5,255.5,511.12
F9230F,23,Bedroom,Vol1.P204-|FULL BED BLACK MW F4725/F4726/F4727/F4728,DMG,,,,,1,141.5,141.5,141.55
F9282Q,23,Bedroom,Vol1.P257-|QUEEN BED MW F4776/F4777/F4778/F4779,DMG,,,,,1,236.5,236.5,236.55
F9290Q,23,Bedroom,Vol1.P268-|QUEEN BED MW F4345/F4346/F4347/F4348(PLATFORM),SHOW,,,,,1,322,322,322.05
F9317EK,23,*DISC*,Vol1.P261-|KING BED PRL MW F4390/F4391/F4392/F4393,DMG,,,,,1,331.5,331.5,331.55
F9317EK,23,*DISC*,Vol1.P261-|KING BED PRL MW F4390/F4391/F4392/F4393,HOU,,,,,1,281.8,281.8,281.81
F9317Q,23,*DISC*,Vol1.P261-|QUEEN BED PRL MW F4390/F4391/F4392/F4393,HOU,,,,,1,233.7,233.7,233.79
F9326Q,23,Bedroom,Vol1.P258-|QUEEN BED MW F4861/F4862/F4863/F4864,DMG,,,,,1,180.9,293.5,180.9
F9377,23,Bedroom,Vol1.P207-|TWIN BED+TRUNDLE PINK MW F4238/F4239,HOU,,,,,1,217.5,217.5,217.56
F9379,23,Bedroom,Vol1.P208-|TWIN BED+TRUNDLE BLACK MW F4234/F4235,HOU,,,,,2,217.5,217.5,435.1
F9412T,23,Bedroom,Vol1.P201-|TWIN BED SILVER MW F4236/F4237,DMG,,,,,1,49.5,64.8,49.5
F9413F,23,Bedroom,Vol1.P201-|FULL BED BLACK MW F4236/F4237,DMG,                   -,,,,-1,68.4,68.4,-68.4
F9414T,23,Bedroom,Vol1.P201-|TWIN BED WHITE MW F4238/F4239,SHOW,,,,,4,54.6,54.6,218.61
F9416F,23,Bedroom,Vol1.P213-|FULL BED WHITE MW F4254/F4255/F4256,HOU,,,,,8,59.1,59.1,472.89
F9417F,23,Bedroom,Vol1.P213-|FULL BED PINK MW F4254/F4255/F4256,HOU,2,,,,20,59.1,59.1,1182.22
F9424T,D,*DISC*,Cat.21.P214-|TWIN BED PINK MW F4941/F4944,DMG,,,,,1,117.9,189,117.9
F1546,23,Dining,Vol1.P172-|DINING CHAIR MW F2398/F1548,DMG,,,,,2,43.3,43.3,86.72
F1548,23,*DISC*,Vol1.P172-  !!BENCH ONLY!!,DMG,,,,,1,45.2,45.2,45.24
F1548,23,*DISC*,Vol1.P172-  !!BENCH ONLY!!,HOU,,,,,3,53.5,53.5,160.65
F1549,23,DINING,Vol1.P172- !!HEIGHT BENCH ONLY!!,DMG,,,,,4,49.9,49.9,199.84
F1562,23,Dining,"Vol1.P128-|ADJUSTABLE BARSTOOL WHITE 38""-44"" MW F1561",DMG,,,,,1,55.1,55.1,55.1
F2237,23,*DISC*,Vol1.P162-  DINING TABLE MW F1388,HOU,,,,,1,151,151,151.05
F2238,23,*DISC*,Vol1.P162-    !!TABLE ONLY!!,HOU,,,,,2,160.5,160.5,321.1
F2398,23,Dining,Vol1.P172-|DINING TABLE MW F1546/F1548,DMG,,,,,1,174.2,174.2,174.27
F2399,23,*DISC*,Vol1.P172-  !!!TABLE ONLY!!!,DMG,,,,,1,142.2,170,142.2
F2399,23,*DISC*,Vol1.P172-  !!!TABLE ONLY!!!,HOU,,,,,1,174.1,174.1,174.17
F4278,23,*DISC*,Vol1.P203-|MIRROR HONEY WALNUT  MW F9046/F9047/F9123,HOU,,,,,1,47,47,47.04
F4279,23,Bedroom,Vol1.P203-|DRESSER HONEY WALNUT MW F9046/F9047/F9123,HOU,,,,,1,170,170,170.05
F4279,23,Bedroom,Vol1.P203-|DRESSER HONEY WALNUT MW F9046/F9047/F9123,SHOW,,,,,1,217.5,217.5,217.55
F5378,D,*DISC*,"[DISC] V.20.P132-|TABLE LAMP 28""H RED VASE",DMG,,,,,2,36.9,36.9,73.8
F6081,23,Dining,Vol1.P160-|SERVER MW F2207/F2208,SHOW,,,,,1,171.9,171.9,171.9
F6647,23,*DISC*,Vol1.P75-|SOFA RECLINER ONLY,SHOW,,,,,1,312.5,312.5,312.55
F7900,21,LIVING,Cat.21.P37-|OTTOMAN ESPRESSO MW F7770,DMG,,,,,1,70.3,70.3,70.3
F9046F,23,*DISC*,Vol1.P203-|FULL BED BLACK MW F4251/F4252/F4253,HOU,,,,,1,113,113,113.06
F9047F,23,*DISC*,Vol1.P203-|FULL BED HONEY WALNUT MW F4277/F4278/F4279,HOU,,,,,2,113,113,226.12
F9047T,23,*DISC*,Vol1.P203-|TWIN BED HONEY WALNUT MW F4277/F4278/F4279,HOU,,,,,2,98.8,98.8,197.6
F9338Q,23,*DISC*,Vol1.P254-|QUEEN BED MW F4359/F4360/F4361/F4362,HOU,,,,,1,160.5,160.5,160.56
F1782,21,*DISC*,Cat.21.P145-  DINING CHAIR,HOU,,,,,6,30,30,180
F1786,21,DINING,Cat.21.P148-|HEIGHT CHAIR MW F2482/F2485,DMG,,,,,2,54.8,54.8,109.73
F1805,23,*DISC*,Vol1.P151-|  DINING CHAIR MW F2496,HOU,,,,,4,35,35,140
F2485,21,*DISC*,Cat.21.P147-|HEIGHT TABLE MW F1781/F1783/F1786,HOU,,,,,2,198.5,198.5,397.1
F2496,23,Dining,Vol1.P151-|DINING TABLE MW F1805,SHOW,,,,,1,122.5,122.5,122.55
F2557,23,Dining,Vol1.P143-|7PCS DINING TABLE SET (TABLE+6 CHAIRS) GREY,DMG,,,,,1,209,284,209
F5447,23,*DISC*,Vol1.P235-|MIRROR GREY MW F9542/F9543,HOU,,,,,3,41.8,41.8,125.4
F5448,23,*DISC*,Vol1.P235-|DRESSER GREY MW F9542/F9543,HOU,,,,,1,208,208,208.05
F6388,23,Living,Vol1.P115-|END TABLE WOODEN TOP MW F6386/F6387,SHOW,,,,,2,65.5,65.5,131.1
F86324,D,*DISC*,Cat.21.P326-|POWER RECLINER DARK BROWN,HOU,                   -,,,,-1,217.5,314.5,-217.55
F9429EK,23,*DISC*,Vol1.P262-|KING BED SILVER ONLY MW F4981,DMG,,,,,1,344.6,344.6,344.63
F9429EK,23,*DISC*,Vol1.P262-|KING BED SILVER ONLY MW F4981,HOU,,,,,1,344.6,344.6,344.63
F9429Q,23,*DISC*,Vol1.P262-|QUEEN BED SILVER MW F4981/F4982/F4983/F4984,HOU,,,,,3,287.6,287.6,862.96
F9537Q,D,*DISC*,[DISC] Cat.21.P249-|QUEEN BED CHA MW F4961/F4962/F4963/F4964,DMG,,,,,1,79.8,79.8,79.8
F2562,23,Dining,Vol1.P139-|6PCS DINING SET (TABLE+4 CHAIRS+BENCH) WHITE,DMG,,,,,1,265,265,265.05
F2563,23,Dining,Vol1.P139-|6PCS DINNING SET (TABLE+4 CHAIRS+BENCH) GREY,DMG,,,,,1,188,188,188
F2568,23,*DISC*,Vol1.P177-   !!!!TABLE ONLY!!! MW F1824,HOU,,,,,1,160.5,160.5,160.55
F2569,23,*DISC*,Vol1.P177-  !!!!TABLE ONLY!!!!,HOU,,,,,2,308.2,308.2,616.55
F2569,23,*DISC*,Vol1.P177-  !!!!TABLE ONLY!!!!,SHOW,,,,,1,255.5,255.5,255.55
