Item No.,Class Code,Dept #,Description,Whs No.,quantity,Sold Qty,Adj. Qty,Receive Qty,End In Stock,Average Cost,Current Cost,Ext Amount
M8193-RECL,MILTON,LIVING,KNOX- DARK GRAY Breathable Air Leather Manual Reclining Chai,HOU,,,,,2,161,161,322
M8193-SOFA,MILTON,LIVING,KNOX- DARK GRAY Breathable Air Leather Manual Reclining Sofa,HOU,,,,,2,283,283,566
30539-SET,LILOLA,DINING,Graham 3-Piece White Finish Small Space Counter Height Dinin,HOU,,,,,1,149,149,149
30539-SET,LILOLA,DINING,Graham 3-Piece White Finish Small Space Counter Height Dinin,SHOW,,,,,1,149,149,149
81360,LILOLA,LIVING,Hannah Gray Woven Convertible Armchair,DMG,,,,,1,119,119,119
81360,LILOLA,LIVING,Hannah Gray Woven Convertible Armchair,SHOW,,,,,1,119,119,119
87716,LILOLA,LIVING,"Briscoe Dark Gray Woven Fabric 102"" Wide Reversible Sectiona",DMG,,,,,1,299,299,299
81356,LILOLA,LIVING,Percy Beige Teddy Velvet Sleeper Loveseat with Side Pockets,SHOW,,,,,1,249,249,249
ZQUEEN-10HYBRID,ZINUS,MATTRESS,10in Hybrid Original Green Tea w/ ActivCharcol Memory Foam,DMG,,,,,1,150,150,150
M7537-RED,MILTON,BEDROOM,RED Twin/Full Metal Bunk Bed,HOU,                   -,,,,-1,109,109,-109
M6602,MILTON,ACCESSOR,Solid Color Manufactured Wood X-Side Panels Coffee Table/660,HOU,,,,,6,52.1,52.1,312.86
M6605,MILTON,ACCESSOR,Solid Color Manufactured Wood X-Side Panels End Table with B,HOU,,,,,6,40,40,240
M6603,MILTON,ACCESSOR,Solid Color Manufactured Wood X-Side Panels Coffee Table wit,HOU,,,,,7,45,45,315
M6606,MILTON,ACCESSOR,Solid Color Manufactured Wood X-Side Panels End Table with B,HOU,1,,,,12,35,35,420
M8079-REC,MILTON,LIVING,TAN Fabric Manual Reclining Chair,HOU,,,,,1,149,149,149
M7577-FULL-BG,MILTON,BEDROOM,Full Metal Platform Bed w/ Beige Linen Headboard (Fully Slat,HOU,,,,,3,82,82,246
M7577-QUEEN-BG,MILTON,BEDROOM,Queen Metal Platform Bed w/ Beige Linen Headboard,HOU,,,,,5,92,92,460
M7577-FULL-GR,MILTON,BEDROOM,Full Metal Platform Bed w/ Gray Linen Headboard (Fully Slate,HOU,,,,,2,82,82,164
M7577-QUEEN-GR,MILTON,BEDROOM,Queen Metal Platform Bed w/ Gray Linen Headboard (Slated),HOU,,,,,6,92,92,552
M7537-BL,MILTON,BEDROOM,BLUE Twin/Full Metal Bunk Bed,HOU,,,,,5,109,109,545
M7106,MILTON,BEDROOM,BLACK 4-Panels Room Divider w/ Window Shutter Style,HOU,,,,,2,58,58,116
M7108,MILTON,BEDROOM,NATURAL 4-Panels Room Divider w/ Window Shutter Style,HOU,,,,,1,58,58,58
M7112,MILTON,BEDROOM,NATURAL 4-Panels Arc Room Divider w/ Window Shutter Style,HOU,,,,,4,69,66.7,276
M7115,MILTON,BEDROOM,BLACK 4-Panels Room Divider w/ Shutter Style & Shelves,HOU,,,,,1,85,85,85
M2001,MILTON,LIVING,CLEO- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,66,66,132
M2002,MILTON,LIVING,CLEO- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,66,66,132
M2003,MILTON,LIVING,CLEO- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,66,66,132
M2004,MILTON,LIVING,CLEO- 47 in. Length Faux Wood TV Stand,HOU,,,,,1,66,66,66
M2005,MILTON,LIVING,CLEO- 69 in. Faux Wood Book Shelves,HOU,,,,,3,90,84.3,270
3PL-FEE,,,3PL-FEE (3%),HOU,                   -,,,,-1,0,0,
M2006,MILTON,LIVING,CLEO- 69 in. Faux Wood Book Shelves,HOU,,,,,2,73,73,146
M2007,MILTON,LIVING,CLEO- 69 in.  Faux Wood Book Shelves,HOU,,,,,4,90,90,360
M2008,MILTON,LIVING,CLEO- 69 in.  Faux Wood Book Shelves,HOU,,,,,3,90,84.3,270
M2010,MILTON,LIVING,JESSA- 71 in. Length Faux Wood TV Stand,HOU,,,,,3,90,90,270
M2012,MILTON,LIVING,JESSA- 75 in.  Faux Wood Book Shelves,HOU,,,,,2,100,100,200
M2013,MILTON,LIVING,JESSA- 75 in.  Faux Wood Book Shelves,HOU,,,,,1,100,100,100
M2014,MILTON,LIVING,JESSA- 75 in. Faux Wood Book Shelves,HOU,,,,,2,100,100,200
M2015,MILTON,LIVING,HOLLY- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,79,79,158
M2016,MILTON,LIVING,HOLLY- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,79,79,158
M2017,MILTON,LIVING,HOLLY- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,79,79,158
M2018,MILTON,LIVING,HOLLY- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,79,79,158
M2019,MILTON,LIVING,HOLLY- 71 in. Length Faux Wood TV Stand,HOU,,,,,2,117.3,117.3,234.67
M2020,MILTON,LIVING,HOLLY- 71 in. Length Faux Wood TV Stand,HOU,,,,,2,94,94,188
M2021,MILTON,LIVING,HOLLY- 71 in. Length Faux Wood TV Stand,HOU,,,,,1,117.3,117.3,117.33
M2022,MILTON,LIVING,HOLLY- 71 in. Length Faux Wood TV Stand,HOU,,,,,2,94,94,188
M7564-FULL,MILTON,BEDROOM,PU Vegan Leather Bed Frame with 4 Slats(Box Spring Required),HOU,,,,,4,58,58,232
M7565-FULL,MILTON,BEDROOM,PU Vegan Leather Bed Frame with 4 Slats(Box Spring Required),HOU,,,,,3,58,58,174
M7565-TWIN,MILTON,BEDROOM,PU Vegan Leather Bed Frame with 4 Slats(Box Spring Required),HOU,2,,,,20,0,0,
M7706-DB,MILTON,LIVING,Polyester Fabric Upholstered Multi-Functional Single Convert,HOU,,,,,3,0,0,
M7706-GR,MILTON,LIVING,VIVI- Grey Linen Fabric Multi-Functional Lounge Chair,HOU,,,,,2,102,102,204
M8079-RECL,MILTON,LIVING,TAN Fabric Manual Reclining Chair,HOU,,,,,2,114,114,228
M6601,MILTON,ACCESSOR,Solid Color Manufactured Wood X-Side Panels Coffee Table wit,HOU,,,,,2,45,45,90
M7715,MILTON,DINING,GRAY Counter Height Chair for M7815,HOU,2,,,,24,27,27,648
M7716,MILTON,DINING,BLACK with BROWN Top Counter Height Chair for M7816,HOU,,,,,4,27,27,108
M7815,MILTON,DINING,"GRAY Wooden Square Counter Table height TABLE + 18"" Butterfl",HOU,,,,,4,120,120,480
M7816,MILTON,DINING,BLACK Wooden Square Counter height  w/ MDF Top + Butterfl,HOU,,,,,1,120,120,120
M7901,MILTON,SLEEPER,Tufted Grid Linen Fabric Upholstered Click-Clack Armless Fut,HOU,,,,,1,79,79,79
M7905,MILTON,SLEEPER,Tufted Grid PVC / Vegan Leather Upholstered Click-Clack Arml,HOU,,,,,3,79,79,237
M8059,MILTON,LIVING,Luxurious Velvet Upholstered Square Armrest Oversized Lounge,HOU,,,,,2,299,299,598
M9220,MILTON,SLEEPER,GRAY Split Back Futon Couch w/ Tufted Buttons,HOU,,,,,2,149,149,298
M7038-GR,MILTON,BEDROOM,GRAY WHITE 3-Panel Room Divider w/ Shutter Style,HOU,,,,,6,49,47.1,294
M7038-NAT,MILTON,BEDROOM,NATURAL 3-Panel Room Divider w/ Shutter Style,HOU,,,,,1,49,49,49
M7039-BK,MILTON,BEDROOM,3-Panel Wood Frame with Rustic Weaving Bamboo Style Room Div,HOU,,,,,2,49,49,98
M7044-GR,MILTON,BEDROOM,GRAY WHITE 4-Panel Room Divider w/ Shutter Style,HOU,,,,,5,50,50,250
M7045-BK,MILTON,BEDROOM,4-Panel Wood Frame with Rustic Weaving Bamboo Style Room Div,HOU,,,,,3,62,62,186
M7045-GR,MILTON,BEDROOM,4-Panel Wood Frame with Rustic Weaving Bamboo Style Room Div,HOU,,,,,2,62,62,124
M7047-GR,MILTON,BEDROOM,GRAY 4-Panel Room Divider w/ Arrow Pattern Woven Style,HOU,,,,,3,62,62,186
M7515-EKING,MILTON,BEDROOM,WARM GRAY E.KING Fabric Adjustable HB Leg Platform Bed w/ LE,HOU,,,,,3,159,159,477
M7515-FULL,MILTON,BEDROOM,WARM GRAY FULL Fabric Adjustable HB Leg Platform Bed w/ LED,HOU,,,,,2,119,119,238
M7516-EKING,MILTON,BEDROOM,DARK GRAY E.KING Fabric Adjustable HB Leg Platform Bed w/ LE,HOU,,,,,3,159,159,477
M7521-EKING,MILTON,BEDROOM,LIGHT GRAY E.KING Fabric Wing Back Platform Bed (Fully Slate,HOU,,,,,3,139,139,417
M7521-FULL,MILTON,BEDROOM,LIGHT GRAY FULL Fabric Wing Back Platform Bed (Fully Slated),HOU,,,,,2,99,99,198
M7521-QUEEN,MILTON,BEDROOM,LIGHT GRAY QUEEN Fabric Wing Back Platform Bed (Fully Slated,HOU,,,,,3,109,109,327
M7522-EKING,MILTON,BEDROOM,DARK GRAY E.KING Fabric Wing Back Platform Bed (Fully Slated,HOU,,,,,3,139,139,417
M7522-FULL,MILTON,BEDROOM,DARK GRAY FULL Fabric Wing Back Platform Bed (Fully Slated),HOU,,,,,3,99,99,297
M7522-QUEEN,MILTON,BEDROOM,DARK GRAY QUEEN Fabric Wing Back Platform Bed (Fully Slated),HOU,,,,,2,109,109,218
M7564-QUEEN,MILTON,BEDROOM,PU Vegan Leather Bed Frame with 4 Slats(Box Spring Required),HOU,,,,,5,0,0,
M7565-QUEEN,MILTON,BEDROOM,PU Vegan Leather Bed Frame with 4 Slats(Box Spring Required),HOU,1,,,,15,20.6,20.6,310
M7702-BENCH,MILTON,DINING,Wire Brushed Dining Counter height BENCH  with Fabric Cushio,HOU,,,,,2,60,60,120
M7706-BK,MILTON,LIVING,Polyester Fabric Upholstered Multi-Functional Single Convert,SHOW,,,,,1,0,0,
M8025-LOVE,MILTON,LIVING,GRAY Manual Recliner + Rocking Loveseat w/ Console + USB + 1,HOU,,,,,1,323,323,323
M8025-SOFA,MILTON,LIVING,GRAY Manual Recliner Sofa w/ Drop Down + USB + 2 Outlets,HOU,,,,,1,366,366,366
M8035-BK,MILTON,LIVING,Pillow Top Tufted Soft PU Plush Click Clack Futon Couch Sofa,HOU,,,,,3,169,169,507
M8035-DB,MILTON,SLEEPER,Pillow Top Tufted Soft PU Plush Click Clack Futon Couch,HOU,,,,,2,169,169,338
M8047-SOFA,MILTON,LIVING,DARK BROWN Sofa w/ 2 Manual Recliners,HOU,,,,,1,313,313,313
M8049-LOVE,MILTON,LIVING,DARK GRAY Manual Reclining Loveseat w/ Console,HOU,,,,,1,278,278,278
M8049-RECL,MILTON,LIVING,DARK GRAY Manual Rocker Recliner,HOU,,,,,2,149,149,298
M8049-SOFA,MILTON,LIVING,DARK GRAY Sofa w/ 2 Manual Recliners,HOU,,,,,1,313,313,313
M8078-LOVE,MILTON,LIVING,GRAY Fabric Manual Reclining Love Seat,HOU,,,,,2,207,207,414
M8078-SOFA,MILTON,LIVING,GRAY Fabric Manual Reclining Sofa,HOU,,,,,2,267,267,534
M8082-LOVE,MILTON,LIVING,TAN Fabric POWER Reclining Love Seat,HOU,,,,,3,246,246,738
M8082-RECL,MILTON,LIVING,TAN Fabric POWER Reclining Chair,HOU,,,,,3,133,133,399
M8082-SOFA,MILTON,LIVING,TAN Fabric POWER Reclining Sofa,HOU,,,,,3,322,322,966
M8086-LOVE,MILTON,LIVING,GRAY Breathable Air Leather Manual Reclining Loveseat,HOU,,,,,4,248,248,992
M8086-RECL,MILTON,LIVING,GRAY Breathable Air Leather Manual Reclining Chair,HOU,,,,,4,155,155,620
M8086-SOFA,MILTON,LIVING,GRAY Breathable Air Leather Manual Reclining Sofa,HOU,,,,,4,277,277,1108
M8181-LOVE,MILTON,LIVING,BROWN Fabric Plushy Cushion w/ Square Arm Loveseat & 2 Throw,HOU,,,,,1,185,185,185
M8195-LOVE,MILTON,LIVING,DARK GRAY Breathable Air Leather POWER w/ USB Reclining Love,HOU,,,,,2,278,278,556
M8195-RECL,MILTON,LIVING,DARK GRAY Breathable Air Leather POWER w/ USB Recliner,HOU,,,,,2,178,178,356
M8195-SOFA,MILTON,LIVING,DARK GRAY Breathable Air Leather POWER w/ USB Reclining Sofa,HOU,,,,,2,343,343,686
B52379-CH,BELLA,BEDROOM,Belisa 5 Drawer Chest Silver,HOU,,,,,5,92.5,92.5,462.55
B52379-DR,BELLA,BEDROOM,Belisa Dresser Silver,SHOW,,,,,1,117.4,117.4,117.49
B52379-MR,BELLA,BEDROOM,Belisa Mirror Silver,HOU,,,,,1,39,39,39.08
B52379-MR,BELLA,BEDROOM,Belisa Mirror Silver,SHOW,,,,,1,39,39,39.08
B52379-NS,BELLA,BEDROOM,Belisa Nightstand Silver,HOU,,,,,1,43.3,43.3,43.34
B52379Q,BELLA,BEDROOM,Belisa Queen Bed Silver,HOU,,,,,5,165.4,165.4,827.35
B52379Q,BELLA,BEDROOM,Belisa Queen Bed Silver,SHOW,,,,,1,165.4,165.4,165.47
B52431-MR,BELLA,BEDROOM,Belisa Mirror Black,HOU,                   -,,,,-1,38.3,38.3,-38.31
B52431-NS,BELLA,BEDROOM,Belisa Nightstand Black,SHOW,,,,,1,42.4,42.4,42.47
B52431K,BELLA,BEDROOM,"Belisa King Bed, Black",HOU,,,,,3,205.3,205.3,616.05
B52431Q,BELLA,BEDROOM,"Belisa Queen Bed, Black",DMG,,,,,1,162.1,162.1,162.17
B52636-DR,BELLA,BEDROOM,Belisa Dresser White,HOU,,,,,7,115.1,115.1,806.05
B52636-NS,BELLA,BEDROOM,Belisa Nightstand White,HOU,1,,,,13,42.4,42.4,552.11
B52636Q,BELLA,BEDROOM,"Belisa Queen Bed, White",HOU,,,,,4,162.1,162.1,648.68
B52648-CH,BELLA,BEDROOM,Calipso 5 Drawer Chest,HOU,,,,,2,171.4,171.4,342.84
B52648-DR,BELLA,BEDROOM,Calipso Dresser,HOU,,,,,5,188.7,188.7,943.85
B52648-NS,BELLA,BEDROOM,Calipso Night Stand,HOU,1,,,,13,67.3,67.3,875.55
B52648-NS,BELLA,BEDROOM,Calipso Night Stand,SHOW,,,,,1,67.3,67.3,67.35
B52648Q,BELLA,BEDROOM,"Calipso Queen Bed, Silver",HOU,,,,,1,158.1,158.1,158.16
B52649-CH,BELLA,BEDROOM,CALIPSO 5 DRAWER CHEST/WHITE,HOU,,,,,1,171.4,171.4,171.42
B52649-DR,BELLA,BEDROOM,CALIPSO DRESSER/WHITE,HOU,,,,,1,188.7,188.7,188.77
B52649-NS,BELLA,BEDROOM,CALIPSO NIGHTSTAND/WHITE,HOU,,,,,8,67.3,67.3,538.8
B52649Q,BELLA,BEDROOM,"CALIPSO QUEEN BED, WHITE",HOU,,,,,1,158.1,158.1,158.16
B52630-DR,BELLA,BEDROOM,NIVIA DRESSER MW B52630 WHITE,SHOW,,,,,1,95,95,95
B52630-NS,BELLA,BEDROOM,NIVIA NIGHTSTAND MW B52630 WHITE,SHOW,,,,,1,34,34,34
B52678-NS,BELLA,BEDROOM,PALLAS MULTI LED NIGHTSTAND MW B52678Q WHITE,HOU,,,,,1,78.9,78.9,78.95
B52678-NS,BELLA,BEDROOM,PALLAS MULTI LED NIGHTSTAND MW B52678Q WHITE,SHOW,,,,,1,78.9,78.9,78.95
B52679-DR,BELLA,BEDROOM,"Pallas Multi LED Dresser, Black",HOU,,,,,1,189.4,189.4,189.47
B52679-NS,BELLA,BEDROOM,"Pallas Multi LED Nightstand, Black",HOU,,,,,3,78.9,78.9,236.85
B52679Q,BELLA,BEDROOM,PALLAS QUEEN MULTI LED BED MW 52679-NS BLACK,HOU,,,,,1,237.8,237.8,237.83
B52679Q,BELLA,BEDROOM,PALLAS QUEEN MULTI LED BED MW 52679-NS BLACK,SHOW,,,,,1,237.8,237.8,237.83
F2625,23,Dining,Vol1.P138-l5-PCS COUNTER HEIGHT DINING TABLE SET/WHITE&GRY,HOU,                   -,,,,-2,0,0,
F2626,23,DINING,Vol1.P138-5-PCS COUNTER HEIGHT GREY,DMG,,,,,2,189,189,378.11
F2626,23,DINING,Vol1.P138-5-PCS COUNTER HEIGHT GREY,SHOW,,,,,1,189,189,189.06
F2612,24,Dining,P24.P131-|5 PIECE DINING SET/GREY,HOU,,,,,2,122.5,122.5,245.1
F2613,24,Dining,P24.P131-|5 PIECE DINING SET BROWN & BEIGE,HOU,,,,,1,122.5,122.5,122.55
F55005,MILTON,MATTRESS,Metal Adjustable Bed Frame - TWIN/FULL/QUEEN,HOU,,,,,3,28,28,84
F55009,MILTON,MATTRESS,Metal Adjustable Bed Frame - QUEEN/EKING/CKING,HOU,,,,,3,41,41,123
M7801,MILTON,DINING,GRAY Wooden Counter height dining TABLE / Butterfly Leaf,HOU,,,,,1,199,199,199
M7701-BENCH,MILTON,DINING,GRAY Wooden Counter height  BENCH w/ Cushion,HOU,,,,,1,60,60,60
M7803,MILTON,DINING,GRAY Wooden DINING TABLE + Double Extension Leaf Set,HOU,,,,,1,235,235,235
M7703-CHAIR,MILTON,DINING,GRAY Wooden Dining CHAIR w/ Cushion FOR M7803,HOU,,,,,2,44.5,44.5,89
M7802,MILTON,DINING,"BROWN Wooden Counter height TABLE + 18"" Butterfly Leaf",HOU,,,,,2,199,199,398
M7805,MILTON,DINING,"BROWN Wooden DINING TABLE 14"" + 14"" Double Extension Leaf",HOU,,,,,2,235,235,470
M7705-CHAIRS,MILTON,DINING,BROWN Wooden Dining CHAIR  w/ Cushion for M7805,HOU,,,,,8,44.5,44.5,356
M7705-BENCH,MILTON,DINING,BROWN Wooden Dining Bench w/ Cushion For M7805,HOU,,,,,2,60,60,120
M7701-CHAIR,MILTON,DINING,GRAY Wooden Counter height CHAIR w/ Cushion,HOU,,,,,4,46,46,184
M7703-BENCH,MILTON,DINING,GRAY Wooden Dining BENCH for M7803,HOU,,,,,2,60,60,120
M7702-CHAIR,MILTON,DINING,BROWN Wooden Counter height CHAIR w/ Cushion,HOU,,,,,8,46,46,368